total_reads,reads_aligned,duplicate_reads,sample
32960070,28838360,1038441,SRX4776623_RHdcatCnR_293_rep1
51236242,45102015,3952034,SRX4776625_RHdcatCnR_293_rep2
48329480,42970512,4632998,SRX4776627_RHdcatCnR_293_rep3
30021806,27039756,3240189,SRX4776628_MapR_293_RH_rep1
25260456,22603245,3202813,SRX4776630_MapR_293_RH_rep2
33671302,30294706,2688994,SRX4776632_MapR_293_ActD_rep1
32453942,29192951,2461370,SRX4776634_MapR_293_ActD_rep2
26307268,23827083,858057,SRX4776636_MapR_U87T_rep1_tech1
21141524,19148046,616256,SRX4776637_MapR_U87T_rep1_tech2
26977184,24565866,950851,SRX4776640_MapR_U87T_rep2
32860156,29497162,887551,SRX4776642_MapR_U87T_100K
36996780,33554459,1263048,SRX4776644_MapR_U87T_RH_rep1
36946490,33448897,1465446,SRX4776646_MapR_U87T_RH_rep2
45958374,41505195,1616311,SRX4776648_MapR_U87T_ActD_rep1
42180046,38059099,1722460,SRX4776648_MapR_U87T_ActD_rep1
32824024,25124535,1611752,SRX5129661_U2OS_siCTRL
32796420,24223356,1581460,SRX5129663_U2OS_siRTEL1
32799071,24657912,1703090,SRX5129665_U2OS_siRTEL1_APH
53399164,46534940,9661532,SRX5290925_OSKM-D0-DRIPseq-rep1
64481452,54537059,11662453,SRX5290926_OSKM-D0-DRIPseq-rep2
74865134,65410977,13507335,SRX5290927_OSKM-D1-DRIPseq-rep1
57864376,49764946,9562111,SRX5290928_OSKM-D1-DRIPseq-rep2
78741822,68631216,12542580,SRX5290929_OSKM-D3-DRIPseq-rep1
84329800,70110934,13614699,SRX5290930_OSKM-D3-DRIPseq-rep2
71285794,60343652,12452480,SRX5290931_OSKM-D5-DRIPseq-rep1
72134808,61468236,11194417,SRX5290932_OSKM-D5-DRIPseq-rep2
70322016,56443582,11020991,SRX5290933_OSKM-D7-DRIPseq-rep1
114808936,74055005,14561226,SRX5290934_OSKM-D7-DRIPseq-rep2
83007336,70540404,13786896,SRX5290935_OSKM-iPSC-DRIPseq-rep1
86824820,73425166,15265756,SRX5290936_OSKM-iPSC-DRIPseq-rep2
125132656,105036214,26301011,SRX5290937_OSKM-D209N-D1-DRIPseq-rep1
148965870,126309461,26095982,SRX5290938_OSKM-D209N-D1-DRIPseq-rep2
166515792,145194147,30751159,SRX5290939_OSKM-D209N-D3-DRIPseq-rep1
109950906,93679866,18088057,SRX5290940_OSKM-D209N-D3-DRIPseq-rep2
154920286,134148734,25503003,SRX5290941_OSKM-D209N-D7-DRIPseq-rep1
150660516,129725276,24488112,SRX5290942_OSKM-D209N-D7-DRIPseq-rep2
98193760,86479672,15519799,SRX5290943_OSKM-RNaseH1-D1-DRIPseq-rep1
65814824,54452825,9954417,SRX5290944_OSKM-RNaseH1-D1-DRIPseq-rep2
54071326,45676600,8391771,SRX5290945_OSKM-RNaseH1-D3-DRIPseq-rep1
94319622,83096395,15335011,SRX5290946_OSKM-RNaseH1-D3-DRIPseq-rep2
88973230,78405863,13507189,SRX5290947_OSKM-RNaseH1-D7-DRIPseq-rep1
77280402,66964978,12362175,SRX5290948_OSKM-RNaseH1-D7-DRIPseq-rep2
73717474,65160218,10955734,SRX5290949_OSKM-FLAG-D1-DRIPseq-rep1
67457186,58690312,10794714,SRX5290950_OSKM-FLAG-D1-DRIPseq-rep2
70649896,61817728,12131402,SRX5290951_OSKM-FLAG-D3-DRIPseq-rep1
52073362,44593974,7440632,SRX5290952_OSKM-FLAG-D3-DRIPseq-rep2
76352334,66395428,11507625,SRX5290953_OSKM-FLAG-D7-DRIPseq-rep1
86024866,75119464,13569899,SRX5290954_OSKM-FLAG-D7-DRIPseq-rep2
19411114,13109363,3083770,SRX5290955_RNaseHtreat-DRIPseq-rep1
36590860,9124258,1462174,SRX5290956_RNaseHtreat-DRIPseq-rep2
191735654,156136237,58735078,SRX5290957_OSKM-D9-DRIPseq
113496440,97432759,23988318,SRX5290958_OKM-D9-DRIPseq
